block_size,number_of_blocks_in_output_image,overlap_size,number_of_cycles
8,8,1,1366909094
8,8,2,1835159054
8,8,3,2656894630
8,8,4,3669712845
8,8,5,4526995588
8,10,1,1665176253
8,10,2,2897938085
8,10,3,4274381476
8,10,4,5787416257
8,10,5,7498393690
8,12,1,2457687225
8,12,2,4274916802
8,12,3,6308180592
8,12,4,8551295489
8,12,5,10727576805
8,14,1,3422181066
8,14,2,5995520793
8,14,3,8700043656
8,14,4,11587995643
8,14,5,14838414755
10,8,1,1172071608
10,8,2,2061450628
10,8,3,3115547817
10,8,4,4056722347
10,8,5,5126003549
10,10,1,1867083132
10,10,2,3300748010
10,10,3,4862682570
10,10,4,6538152527
10,10,5,8314068385
10,12,1,2771692260
10,12,2,4916732258
10,12,3,7195754847
10,12,4,9670564465
10,12,5,12304838875
10,14,1,3840047704
10,14,2,6771002517
10,14,3,9964822922
10,14,4,13399667822
10,14,5,16986752737
12,8,1,1289065301
12,8,2,2326355174
12,8,3,3404672458
12,8,4,4565834935
12,8,5,5850131461
12,10,1,2106658918
12,10,2,3758172159
12,10,3,5498209027
12,10,4,7368552065
12,10,5,9411811844
12,12,1,3094538577
12,12,2,5526638037
12,12,3,8090367600
12,12,4,10836829934
12,12,5,14056952567
12,14,1,4309136401
12,14,2,7624124949
12,14,3,11196533920
12,14,4,14981070968
12,14,5,19130520876
14,8,1,1502653625
14,8,2,2649787087
14,8,3,3910760495
14,8,4,5164500828
14,8,5,6513609158
14,10,1,2378594370
14,10,2,4278238681
14,10,3,6263255272
14,10,4,8318554561
14,10,5,10534855355
14,12,1,3481223846
14,12,2,6269174103
14,12,3,9229176168
14,12,4,12287831733
14,12,5,15497079010
14,14,1,4804004922
14,14,2,8658465567
14,14,3,12707810328
14,14,4,16909039183
14,14,5,21354461243
16,8,1,1780605084
16,8,2,3039884587
16,8,3,4341365296
16,8,4,5648604913
16,8,5,7016259055
16,10,1,2494972262
16,10,2,4517966148
16,10,3,6653751263
16,10,4,8831198513
16,10,5,11303553552
16,12,1,3659944823
16,12,2,6645378158
16,12,3,9788210262
16,12,4,12997478509
16,12,5,16556345331
16,14,1,5057945939
16,14,2,9159257295
16,14,3,13456331127
16,14,4,17904899148
16,14,5,22878075172
18,8,1,1654729397
18,8,2,2995667834
18,8,3,4396796286
18,8,4,5926553676
18,8,5,7460069166
18,10,1,2667657264
18,10,2,4821578918
18,10,3,7081243490
18,10,4,9555981663
18,10,5,12058732357
18,12,1,3910510225
18,12,2,7106717662
18,12,3,10411446651
18,12,4,14077127960
18,12,5,17710747594
18,14,1,5386861656
18,14,2,9808350448
18,14,3,14380438982
18,14,4,19392433962
18,14,5,24438598950
20,8,1,2139487953
20,8,2,3566840403
20,8,3,5154166351
20,8,4,6700254375
20,8,5,8354040396
20,10,1,3447289722
20,10,2,5769486484
20,10,3,8308982373
20,10,4,10797991930
20,10,5,13438140944
20,12,1,5029172547
20,12,2,8415138344
20,12,3,12211358246
20,12,4,15913362044
20,12,5,19686966777
20,14,1,6938442922
20,14,2,11656985247
20,14,3,16824077708
20,14,4,22064582462
20,14,5,27172177277
22,8,1,2155797622
22,8,2,3667586772
22,8,3,5317000703
22,8,4,6953240501
22,8,5,8671339381
22,10,1,3457422733
22,10,2,5902339267
22,10,3,8545279243
22,10,4,11194536276
22,10,5,14007787529
22,12,1,5040254684
22,12,2,8605094590
22,12,3,12523842933
22,12,4,16357585919
22,12,5,20557929649
22,14,1,7221724890
22,14,2,12174847423
22,14,3,17535958312
22,14,4,22855639286
22,14,5,28482038527
24,8,1,2060380195
24,8,2,3675700358
24,8,3,5372475485
24,8,4,7265824985
24,8,5,9140569369
24,10,1,3719593343
24,10,2,6343956963
24,10,3,9092410439
24,10,4,11798178507
24,10,5,14781689901
24,12,1,5478908319
24,12,2,9299874492
24,12,3,13331499023
24,12,4,17364306066
24,12,5,22002349694
24,14,1,8065461105
24,14,2,14093202057
24,14,3,21530728295
24,14,4,25187868558
24,14,5,30908572849
26,8,1,2368065571
26,8,2,4118256809
26,8,3,5829640027
26,8,4,7603894889
26,8,5,9494432897
26,10,1,3783905925
26,10,2,6621110076
26,10,3,9364304807
26,10,4,12235287703
26,10,5,15265544500
26,12,1,5596636698
26,12,2,9675838246
26,12,3,13781254365
26,12,4,17993756693 
26,12,5,22483921675
26,14,1,7729615170
26,14,2,13442259509
26,14,3,19129956228
26,14,4,24765233767
26,14,5,30918821581
28,8,1,2415690647
28,8,2,4209903566
28,8,3,6025625199
28,8,4,7789485541
28,8,5,9875489282
28,10,1,3879517896
28,10,2,6769189044
28,10,3,9595859646
28,10,4,12578942964
28,10,5,15956487609
28,12,1,5663456322
28,12,2,9920720246
28,12,3,14352420776
28,12,4,18927485134
28,12,5,23728892985
28,14,1,7799842894
28,14,2,13635352418
28,14,3,19430902598
28,14,4,25314492541
28,14,5,32705279652
30,8,1,2363924392
30,8,2,4213637595
30,8,3,6994054392
30,8,4,8240822837
30,8,5,9913984483
30,10,1,3605887026
30,10,2,6547142341
30,10,3,9540078226
30,10,4,13326292274
30,10,5,16869215052
30,12,1,5289687114
30,12,2,9700364784
30,12,3,14002238261
30,12,4,18659368525
30,12,5,23515952574
30,14,1,7327410920
30,14,2,13305671922
30,14,3,19417697611
30,14,4,25643397245
30,14,5,32402635823
