block_size,number_of_blocks_in_output_image,overlap_size,number_of_cycles,runtime_ms
// leaf image
// Baseline
16,33,4,27651250822,4.267168
16,39,6,53711217951,8.288768
16,49,8,103296043210,15.940747
32,16,8,18139983593,2.799380
32,19,12,36031403537,5.560402
32,24,16,72029732736,11.115699
64,8,16,9123745372,1.407985
64,9,24,16276079664,2.511741
64,11,32,29904518583,4.614895
128,3,32,24104484,0.003720
128,4,48,67467053,0.010412
128,5,64,134941797,0.020824
// Opt 4
16,33,4,16204127023,2.500637
16,39,6,28448126741,4.390143
16,49,8,52903807020,8.164168
32,16,8,9404984501,1.451386
32,19,12,17522006673,2.704013
32,24,16,34140313273,5.268567
64,8,16,4159598309,0.641913
64,9,24,7250956744,1.118975
64,11,32,13577719906,2.095327
128,3,32,12191584,0.001881
128,4,48,31992807,0.004937
128,5,64,64787294,0.009998
// Opt 5
16,33,4,12065377767,1.861941
16,39,6,19799713341,3.055511
16,49,8,34626152126,5.343542
32,16,8,6315452631,0.974607
32,19,12,11098630074,1.712752
32,24,16,12375733494,1.909835
64,8,16,1576180025,0.243238
64,9,24,3393262302,0.523652
64,11,32,4106056864,0.633651
128,3,32,5209316,0.000804
128,4,48,12856454,0.001984
128,5,64,23741967,0.003664
// Opt 6
16,33,4,12146388920,1.874443
16,39,6,19726062799,3.044145
16,49,8,34481210949,5.321175
32,16,8,6335833535,0.977752
32,19,12,11073130182,1.708816
32,24,16,12409483876,1.915044
64,8,16,1571132651,0.242459
64,9,24,3392657339,0.523558
64,11,32,4098203160,0.632439
128,3,32,4913944,0.000758
128,4,48,12223386,0.001886
128,5,64,23078094,0.003561
// Opt 6a
16,33,4,12146595229,1.874475
16,39,6,19462350699,3.003449
16,49,8,31702304755,4.892331
32,16,8,6334783761,0.977590
32,19,12,10712544938,1.653171
32,24,16,8977094090,1.385354
64,8,16,1055656538,0.162910
64,9,24,2878378381,0.444194
64,11,32,3331036896,0.514049
128,3,32,4250975,0.000656
128,4,48,9652144,0.001490
128,5,64,17806697,0.002748
// Opt 6b
16,33,4,7225506925,1.115047
16,39,6,11862219074,1.830589
16,49,8,19571387857,3.020276
32,16,8,4641880152,0.716340
32,19,12,7687384603,1.186325
32,24,16,8836955143,1.363728
64,8,16,1348793488,0.208147
64,9,24,2786941592,0.430084
64,11,32,3467125145,0.535050
128,3,32,5301345,0.000818
128,4,48,13081320,0.002019
128,5,64,24033700,0.003709
// Opt 6c
16,33,4,6589736639,1.016935
16,39,6,10891973357,1.680860
16,49,8,18668142598,2.880886
32,16,8,5016440550,0.774142
32,19,12,8257287200,1.274273
32,24,16,6576698031,1.014923
64,8,16,1066474949,0.164579
64,9,24,2704907732,0.417424
64,11,32,2603557586,0.401784
128,3,32,4248380,0.000656
128,4,48,10177895,0.001571
128,5,64,18644819,0.002877
// Opt 8
16,33,4,14083982258,2.173454
16,39,6,22984683896,3.547019
16,49,8,38002474134,5.864579
32,16,8,7804090525,1.204335
32,19,12,13784148338,2.127183
32,24,16,10822729444,1.670174
64,8,16,1253721620,0.193476
64,9,24,3416110211,0.527178
64,11,32,4244866989,0.655072
128,3,32,4856556,0.000749
128,4,48,11245919,0.001735
128,5,64,21040967,0.003247
