block_size,number_of_blocks_in_output_image,overlap_size,number_of_cycles,runtime_ms
// caustics image
// Baseline
16,33,4,28091978351,15.606655
16,39,6,53781324955,29.878514
16,49,8,99949615263,55.527564
32,16,8,17849256643,9.916254
32,19,12,35410913972,19.672730
32,24,16,70307885071,39.059936
64,8,16,8641016311,4.800565
64,9,24,15611477798,8.673043
64,11,32,29777678946,16.543155
128,3,32,156705089,0.087058
128,4,48,444619656,0.247011
128,5,64,904074661,0.502264
// Opt 4
16,33,4,15879222377,8.821790
16,39,6,27856838802,15.476022
16,49,8,51997926682,28.887737
32,16,8,9265204490,5.147336
32,19,12,17230354635,9.572419
32,24,16,33568102586,18.648946
64,8,16,4054565045,2.252536
64,9,24,7194219412,3.996789
64,11,32,13307795569,7.393220
128,3,32,71005517,0.039448
128,4,48,195652723,0.108696
128,5,64,394419763,0.219122
// Opt 5
16,33,4,11839210748,6.577339
16,39,6,19426241035,10.792356
16,49,8,33976902394,18.876057
32,16,8,6162850132,3.423806
32,19,12,10738425448,5.965792
32,24,16,12191517957,6.773066
64,8,16,1535080943,0.852823
64,9,24,3325452887,1.847474
64,11,32,4017947979,2.232193
128,3,32,23373584,0.012985
128,4,48,63529294,0.035294
128,5,64,119187547,0.066215
// Opt 6a
16,33,4,11876371887,6.597984
16,39,6,19051613715,10.584230
16,49,8,30882421490,17.156901
32,16,8,6049260050,3.360700
32,19,12,10405283946,5.780713
32,24,16,8866807460,4.926004
64,8,16,1036709727,0.575950
64,9,24,2788183773,1.548991
64,11,32,3268413996,1.815786
128,3,32,18400910,0.010223
128,4,48,45182442,0.025101
128,5,64,101747326,0.056526
// Opt 6c
16,33,4,6839234920,3.799575
16,39,6,11373420506,6.318567
16,49,8,19672932307,10.929407
32,16,8,4357936257,2.421076
32,19,12,7438686512,4.132604
32,24,16,6187513171,3.437507
64,8,16,846613196,0.470341
64,9,24,2076566481,1.153648
64,11,32,2015864043,1.119924
128,3,32,18592278,0.010329
128,4,48,50545017,0.028081
128,5,64,84946920,0.047193
// Opt 6d
16,33,4,10756104692,5.975614
16,39,6,20311882925,11.284379
16,49,8,39632476199,22.018042
32,16,8,6421298761,3.567388
32,19,12,12254493940,6.808052
32,24,16,22911592289,12.728662
64,8,16,1848429751,1.026905
64,9,24,3205895539,1.781053
64,11,32,5348983184,2.971657
128,3,32,8781284,0.004878
128,4,48,19400636,0.010778
128,5,64,29044022,0.016136
// Opt 9
16,33,4,7068480962,3.926934
16,39,6,11581754943,6.434308
16,49,8,19956888429,11.087160
32,16,8,4352772749,2.418207
32,19,12,7454601761,4.141445
32,24,16,7151044814,3.972803
64,8,16,977216227,0.542898
64,9,24,2261533945,1.256408
64,11,32,2204128819,1.224516
128,3,32,18845245,0.010470
128,4,48,50907200,0.028282
128,5,64,90419948,0.050233
// Opt 10
16,33,4,5699221266,3.166234
16,39,6,9645778851,5.358766
16,49,8,16330336242,9.072409
32,16,8,3687097168,2.048387
32,19,12,6220627030,3.455904
32,24,16,5347731936,2.970962
64,8,16,752463080,0.418035
64,9,24,1800146096,1.000081
64,11,32,1753758373,0.974310
128,3,32,18594222,0.010330
128,4,48,49406787,0.027448
128,5,64,85098482,0.047277
