block_size,number_of_blocks_in_output_image,overlap_size,number_of_cycles,runtime_ms
// radishes image
// Baseline
16,33,4,53435594095,29.686441
16,39,6,97386814043,54.103786
16,49,8,188250799571,104.583778
32,16,8,36429488019,20.238604
32,19,12,72244466910,40.135815
32,24,16,143271578553,79.595321
64,8,16,22061129943,12.256183
64,9,24,40039892388,22.244385
64,11,32,75676887417,42.042715
128,3,32,2435558458,1.353088
128,4,48,6957819800,3.865455
128,5,64,14287218009,7.937343
// Opt 4
16,33,4,30045272382,16.691818
16,39,6,52656384359,29.253547
16,49,8,98262536695,54.590298
32,16,8,18811513179,10.450841
32,19,12,35336447587,19.631360
32,24,16,68678005305,38.154447
64,8,16,10218665152,5.677036
64,9,24,18290335629,10.161298
64,11,32,34085446510,18.936359
128,3,32,1105637683,0.614243
128,4,48,3050679255,1.694822
128,5,64,6236336719,3.464632
// Opt 5
16,33,4,22389311250,12.438506
16,39,6,36715946779,20.397748
16,49,8,64362831152,35.757128
32,16,8,12832544887,7.129192
32,19,12,22512241949,12.506801
32,24,16,24852062770,13.806702
64,8,16,3892613011,2.162563
64,9,24,8657238108,4.809577
64,11,32,10278439125,5.710244
128,3,32,335589475,0.186439
128,4,48,948114867,0.526730
128,5,64,1830138457,1.016744
// Opt 6a
16,33,4,22369412169,12.427451
16,39,6,35751335852,19.861853
16,49,8,57856694669,32.142608
32,16,8,12498302271,6.943501
32,19,12,21358031682,11.865573
32,24,16,17897135065,9.942853
64,8,16,2671722073,1.484290
64,9,24,7289536769,4.049743
64,11,32,8472290079,4.706828
128,3,32,264253141,0.146807
128,4,48,674923405,0.374957
128,5,64,1301774151,0.723208
// Opt 6c
16,33,4,4356494422,2.420275
16,39,6,7236978599,4.020544
16,49,8,12721310833,7.067395
32,16,8,3508871672,1.949373
32,19,12,6156411004,3.420228
32,24,16,6202975335,3.446097
64,8,16,1268620246,0.704789
64,9,24,3381092406,1.878385
64,11,32,3590247511,1.994582
128,3,32,195297485,0.108499
128,4,48,636282171,0.353490
128,5,64,1087637697,0.604243
// Opt 6d
16,33,4,20386001854,11.325557
16,39,6,38526401674,21.403556
16,49,8,75730586901,42.072548
32,16,8,13293533668,7.385296
32,19,12,25709612359,14.283118
32,24,16,49526599856,27.514778
64,8,16,5995167446,3.330649
64,9,24,10554018465,5.863344
64,11,32,18759380874,10.421878
128,3,32,167126220,0.092848
128,4,48,412260469,0.229034
128,5,64,676107014,0.375615
// Opt 9
16,33,4,5670605871,3.150337
16,39,6,9498673874,5.277041
16,49,8,16549846421,9.194359
32,16,8,4395647532,2.442026
32,19,12,7866868694,4.370483
32,24,16,8462253542,4.701252
64,8,16,1559667482,0.866482
64,9,24,3866640430,2.148134
64,11,32,4025115304,2.236175
128,3,32,177070879,0.098373
128,4,48,603495604,0.335275
128,5,64,1131760379,0.628756
// Opt 10
16,33,4,4244767269,2.358204
16,39,6,7160575647,3.978098
16,49,8,12374493097,6.874718
32,16,8,3428949342,1.904972
32,19,12,6175572919,3.430874
32,24,16,6224927385,3.458293
64,8,16,1254477522,0.696932
64,9,24,3380516204,1.878065
64,11,32,3670697604,2.039276
128,3,32,179100155,0.099500
128,4,48,624462517,0.346924
128,5,64,1111045610,0.617248
