revision,block_size,number_of_blocks_in_output_image,overlap_size,number_of_cycles,runtime_s
baseline,16,12,4,7648200393,3.186750
baseline,16,12,6,10519040338,4.382933
baseline,16,12,8,12967951143,5.403313
baseline,32,12,8,24870911232,10.362880
baseline,32,12,12,34676524073,14.448552
baseline,32,12,16,43001930188,17.917471
baseline,64,12,16,61960971098,25.817071
baseline,64,12,24,86801102048,36.167126
baseline,64,12,32,109304436512,45.543515
baseline,128,12,32,62793178036,26.163824
baseline,128,12,48,87861900586,36.609125
baseline,128,12,64,107811508814,44.921462
opt_4,16,12,4,3887945383,1.619977
opt_4,16,12,6,4949582194,2.062326
opt_4,16,12,8,5956974300,2.482073
opt_4,32,12,8,11062824586,4.609510
opt_4,32,12,12,14840806193,6.183669
opt_4,32,12,16,18152787431,7.563661
opt_4,64,12,16,26216159279,10.923400
opt_4,64,12,24,35786297277,14.910957
opt_4,64,12,32,44238644642,18.432769
opt_4,128,12,32,25395139814,10.581308
opt_4,128,12,48,35274112582,14.697547
opt_4,128,12,64,43359837170,18.066599
opt_5,16,12,4,2743498281,1.143124
opt_5,16,12,6,3155427525,1.314761
opt_5,16,12,8,3406993398,1.419581
opt_5,32,12,8,6563716698,2.734882
opt_5,32,12,12,8133397931,3.388916
opt_5,32,12,16,4874024886,2.030844
opt_5,64,12,16,7347657498,3.061524
opt_5,64,12,24,14543866286,6.059944
opt_5,64,12,32,10700512585,4.458547
opt_5,128,12,32,6129548359,2.553978
opt_5,128,12,48,8787656073,3.661523
opt_5,128,12,64,10093602623,4.205668
opt_6a,16,12,4,3098570692,1.291071
opt_6a,16,12,6,3498695573,1.457790
opt_6a,16,12,8,3814674558,1.589448
opt_6a,32,12,8,7144628677,2.976929
opt_6a,32,12,12,8327322323,3.469718
opt_6a,32,12,16,4368378590,1.820158
opt_6a,64,12,16,5913740456,2.464059
opt_6a,64,12,24,11862747634,4.942812
opt_6a,64,12,32,8090294250,3.370956
opt_6a,128,12,32,4439144240,1.849643
opt_6a,128,12,48,5637818119,2.349091
opt_6a,128,12,64,6649938842,2.770808
opt_6b,16,12,4,541755755,0.225732
opt_6b,16,12,6,787744476,0.328227
opt_6b,16,12,8,800890429,0.333704
opt_6b,32,12,8,2123977945,0.884991
opt_6b,32,12,12,2674833034,1.114514
opt_6b,32,12,16,2185538984,0.910641
opt_6b,64,12,16,5277766455,2.199069
opt_6b,64,12,24,8979447074,3.741436
opt_6b,64,12,32,7397270706,3.082196
opt_6b,128,12,32,6094945807,2.539561
opt_6b,128,12,48,8838840682,3.682850
opt_6b,128,12,64,10009844974,4.170769
opt_6c,16,12,4,1237170352,0.515488
opt_6c,16,12,6,1660470708,0.691863
opt_6c,16,12,8,1591175243,0.662990
opt_6c,32,12,8,5444609752,2.268587
opt_6c,32,12,12,6896085692,2.873369
opt_6c,32,12,16,3067710078,1.278213
opt_6c,64,12,16,5636720076,2.348633
opt_6c,64,12,24,11372149531,4.738396
opt_6c,64,12,32,6603478226,2.751449
opt_6c,128,12,32,4476084311,1.865035
opt_6c,128,12,48,6094644695,2.539435
opt_6c,128,12,64,6240304768,2.600127
opt_6d,16,12,4,2581073772,1.075447
opt_6d,16,12,6,3597552340,1.498980
opt_6d,16,12,8,4379069880,1.824612
opt_6d,32,12,8,7555036907,3.147932
opt_6d,32,12,12,10340154339,4.308398
opt_6d,32,12,16,11757471991,4.898947
opt_6d,64,12,16,14464220465,6.026759
opt_6d,64,12,24,19470965742,8.112902
opt_6d,64,12,32,22170788873,9.237829
opt_6d,128,12,32,3272398327,1.363499
opt_6d,128,12,48,3662759134,1.526150
opt_6d,128,12,64,3716658389,1.548608
opt_9,16,12,4,1501501562,0.625626
opt_9,16,12,6,1972139580,0.821725
opt_9,16,12,8,2233054004,0.930439
opt_9,32,12,8,5649498258,2.353958
opt_9,32,12,12,7353144937,3.063810
opt_9,32,12,16,3519923330,1.466635
opt_9,64,12,16,5907340572,2.461392
opt_9,64,12,24,11770430416,4.904346
opt_9,64,12,32,7400832834,3.083680
opt_9,128,12,32,4644539436,1.935225
opt_9,128,12,48,6365290890,2.652205
opt_9,128,12,64,6528613223,2.720256
opt_10,16,12,4,563092246,0.234622
opt_10,16,12,6,707880205,0.294950
opt_10,16,12,8,602504500,0.251044
opt_10,32,12,8,1715190308,0.714663
opt_10,32,12,12,2307958206,0.961649
opt_10,32,12,16,1326234709,0.552598
opt_10,64,12,16,2792786721,1.163661
opt_10,64,12,24,5804997382,2.418749
opt_10,64,12,32,3828404769,1.595169
opt_10,128,12,32,3632425507,1.513511
opt_10,128,12,48,5089662675,2.120693
opt_10,128,12,64,5184915583,2.160381
