revision,block_size,number_of_blocks_in_output_image,overlap_size,number_of_cycles,runtime_s
baseline,16,12,4,4737288120,1.973870
baseline,16,12,6,6601826595,2.750761
baseline,16,12,8,8036338306,3.348474
baseline,32,12,8,15039695555,6.266540
baseline,32,12,12,20718751620,8.632813
baseline,32,12,16,25494130316,10.622554
baseline,64,12,16,37212142603,15.505059
baseline,64,12,24,51821389384,21.592246
baseline,64,12,32,64108549915,26.711896
baseline,128,12,32,37792394207,15.746831
baseline,128,12,48,52525362876,21.885568
baseline,128,12,64,64894810119,27.039504
opt_4,16,12,4,1954580291,0.814408
opt_4,16,12,6,2255596645,0.939832
opt_4,16,12,8,2840792421,1.183664
opt_4,32,12,8,5331006723,2.221253
opt_4,32,12,12,6515220642,2.714675
opt_4,32,12,16,8018059448,3.340858
opt_4,64,12,16,11505330052,4.793888
opt_4,64,12,24,14479532947,6.033139
opt_4,64,12,32,18167121801,7.569634
opt_4,128,12,32,11427326046,4.761386
opt_4,128,12,48,14814411723,6.172672
opt_4,128,12,64,18181855482,7.575773
opt_5,16,12,4,2381996402,0.992499
opt_5,16,12,6,2204441515,0.918517
opt_5,16,12,8,2034158848,0.847566
opt_5,32,12,8,4046922777,1.686218
opt_5,32,12,12,3836963642,1.598735
opt_5,32,12,16,2253816310,0.939090
opt_5,64,12,16,3153732831,1.314055
opt_5,64,12,24,6562387542,2.734328
opt_5,64,12,32,4167306036,1.736378
opt_5,128,12,32,2333672723,0.972364
opt_5,128,12,48,2986514220,1.244381
opt_5,128,12,64,3478700418,1.449459
opt_6a,16,12,4,2352704185,0.980293
opt_6a,16,12,6,2217256900,0.923857
opt_6a,16,12,8,2077905254,0.865794
opt_6a,32,12,8,4089929901,1.704137
opt_6a,32,12,12,4004530242,1.668554
opt_6a,32,12,16,2721508441,1.133962
opt_6a,64,12,16,3988863830,1.662027
opt_6a,64,12,24,7618367757,3.174320
opt_6a,64,12,32,6565551469,2.735646
opt_6a,128,12,32,3618123058,1.507551
opt_6a,128,12,48,4934347244,2.055978
opt_6a,128,12,64,5822821198,2.426175
opt_6b,16,12,4,426798633,0.177833
opt_6b,16,12,6,459698718,0.191541
opt_6b,16,12,8,464401341,0.193501
opt_6b,32,12,8,1251455356,0.521440
opt_6b,32,12,12,1236140415,0.515059
opt_6b,32,12,16,932980996,0.388742
opt_6b,64,12,16,2018313636,0.840964
opt_6b,64,12,24,3884137205,1.618391
opt_6b,64,12,32,2759123212,1.149635
opt_6b,128,12,32,2308202842,0.961751
opt_6b,128,12,48,2962185078,1.234244
opt_6b,128,12,64,3433883885,1.430785
opt_6c,16,12,4,1204254010,0.501773
opt_6c,16,12,6,1216274169,0.506781
opt_6c,16,12,8,1302304371,0.542627
opt_6c,32,12,8,3590996497,1.496249
opt_6c,32,12,12,4095437503,1.706432
opt_6c,32,12,16,4051988314,1.688328
opt_6c,64,12,16,7322413248,3.051006
opt_6c,64,12,24,11500818993,4.792008
opt_6c,64,12,32,9694501563,4.039376
opt_6c,128,12,32,6587358412,2.744733
opt_6c,128,12,48,8172792834,3.405330
opt_6c,128,12,64,9487519466,3.953133
opt_6d,16,12,4,1954722391,0.814468
opt_6d,16,12,6,1851077451,0.771282
opt_6d,16,12,8,1760548038,0.733562
opt_6d,32,12,8,3312395597,1.380165
opt_6d,32,12,12,3308934586,1.378723
opt_6d,32,12,16,2707752292,1.128230
opt_6d,64,12,16,3556939831,1.482058
opt_6d,64,12,24,5960486352,2.483536
opt_6d,64,12,32,5404852646,2.252022
opt_6d,128,12,32,1453572456,0.605655
opt_6d,128,12,48,1719815070,0.716590
opt_6d,128,12,64,1920807461,0.800336
opt_9,16,12,4,1402993003,0.584580
opt_9,16,12,6,1386383854,0.577660
opt_9,16,12,8,1313529095,0.547304
opt_9,32,12,8,3859246009,1.608019
opt_9,32,12,12,3900434709,1.625181
opt_9,32,12,16,4237830099,1.765763
opt_9,64,12,16,7132931722,2.972055
opt_9,64,12,24,11208490669,4.670204
opt_9,64,12,32,9090293038,3.787622
opt_9,128,12,32,6379265745,2.658027
opt_9,128,12,48,8037114505,3.348798
opt_9,128,12,64,8966603924,3.736085
opt_10,16,12,4,436267379,0.181778
opt_10,16,12,6,456251364,0.190105
opt_10,16,12,8,590978750,0.246241
opt_10,32,12,8,1343018793,0.559591
opt_10,32,12,12,1520092092,0.633372
opt_10,32,12,16,1806756886,0.752815
opt_10,64,12,16,3831799880,1.596583
opt_10,64,12,24,6155321435,2.564717
opt_10,64,12,32,5525797590,2.302416
opt_10,128,12,32,5366350989,2.235980
opt_10,128,12,48,6857199394,2.857166
opt_10,128,12,64,8010533850,3.337722
