revision,block_size,number_of_blocks_in_output_image,overlap_size,number_of_cycles,runtime_s
baseline,64,12,32,4038673718388,1682.780716
baseline,128,12,64,13223102430614,5509.626013
opt_6a,64,12,32,299753238826,124.897183
opt_6a,128,12,64,978014814692,407.506173
opt_6b,64,12,32,105140340120,43.808475
opt_6b,128,12,64,369387482276,153.911451
opt_6c,64,12,32,64871388088,27.029745
opt_6c,128,12,64,155198874762,64.666198
opt_6d,64,12,32,1177223753502,490.509897
opt_6d,128,12,64,3625649114453,1510.687131
opt_9,64,12,32,77329404289,32.220585
opt_9,128,12,64,207724609663,86.551921
opt_10,64,12,32,39034130639,16.264221
opt_10,128,12,64,159353471914,66.397280
