revision,block_size,number_of_blocks_in_output_image,overlap_size,number_of_cycles,runtime_s
baseline,16,12,4,7845493292,2.179304
baseline,16,12,6,10613346952,2.948152
baseline,16,12,8,13021047540,3.616958
baseline,32,12,8,24942977320,6.928605
baseline,32,12,12,34766746462,9.657430
baseline,32,12,16,43025385772,11.951496
baseline,64,12,16,61950165068,17.208379
baseline,64,12,24,86806076476,24.112799
baseline,64,12,32,109710921030,30.475256
baseline,128,12,32,63480051011,17.633348
baseline,128,12,48,87655614303,24.348782
baseline,128,12,64,108060686404,30.016857
opt_4,16,12,4,3886062377,1.079462
opt_4,16,12,6,4948133580,1.374482
opt_4,16,12,8,5954214512,1.653948
opt_4,32,12,8,11041755828,3.067154
opt_4,32,12,12,14782047948,4.106124
opt_4,32,12,16,18107533892,5.029871
opt_4,64,12,16,26200809886,7.278003
opt_4,64,12,24,35744837795,9.929122
opt_4,64,12,32,44202215372,12.278393
opt_4,128,12,32,25369769038,7.047158
opt_4,128,12,48,35249834253,9.791621
opt_4,128,12,64,43279901282,12.022195
opt_5,16,12,4,2742401708,0.761778
opt_5,16,12,6,3154495345,0.876249
opt_5,16,12,8,3404066003,0.945574
opt_5,32,12,8,6510797723,1.808555
opt_5,32,12,12,8127835188,2.257732
opt_5,32,12,16,4887791537,1.357720
opt_5,64,12,16,7360285470,2.044524
opt_5,64,12,24,14506354061,4.029543
opt_5,64,12,32,10709749642,2.974930
opt_5,128,12,32,6126485966,1.701802
opt_5,128,12,48,8801168584,2.444769
opt_5,128,12,64,10106887227,2.807469
opt_6a,16,12,4,3108718622,0.863533
opt_6a,16,12,6,3507719021,0.974366
opt_6a,16,12,8,3823545620,1.062096
opt_6a,32,12,8,7150903539,1.986362
opt_6a,32,12,12,8329000918,2.313611
opt_6a,32,12,16,4372801835,1.214667
opt_6a,64,12,16,5935348607,1.648708
opt_6a,64,12,24,11885196901,3.301444
opt_6a,64,12,32,8075255386,2.243126
opt_6a,128,12,32,4410974678,1.225271
opt_6a,128,12,48,5629577172,1.563771
opt_6a,128,12,64,6675057325,1.854183
opt_6b,16,12,4,589052234,0.163626
opt_6b,16,12,6,747055197,0.207515
opt_6b,16,12,8,775571727,0.215437
opt_6b,32,12,8,2486506079,0.690696
opt_6b,32,12,12,3033944745,0.842762
opt_6b,32,12,16,2400444184,0.666790
opt_6b,64,12,16,6001275662,1.667021
opt_6b,64,12,24,11090553581,3.080709
opt_6b,64,12,32,8779155458,2.438654
opt_6b,128,12,32,6141512101,1.705976
opt_6b,128,12,48,8931691414,2.481025
opt_6b,128,12,64,10205879868,2.834967
opt_6c,16,12,4,577841756,0.160512
opt_6c,16,12,6,630619226,0.175172
opt_6c,16,12,8,756737814,0.210205
opt_6c,32,12,8,1993839780,0.553844
opt_6c,32,12,12,2605175405,0.723660
opt_6c,32,12,16,1508689653,0.419080
opt_6c,64,12,16,3004410647,0.834559
opt_6c,64,12,24,6348286555,1.763413
opt_6c,64,12,32,4158375074,1.155104
opt_6c,128,12,32,3437161651,0.954767
opt_6c,128,12,48,5483316958,1.523144
opt_6c,128,12,64,5707460361,1.585406
opt_6d,16,12,4,2552337153,0.708983
opt_6d,16,12,6,3478844368,0.966346
opt_6d,16,12,8,4256265969,1.182296
opt_6d,32,12,8,7269553124,2.019320
opt_6d,32,12,12,9959944438,2.766651
opt_6d,32,12,16,11629191421,3.230331
opt_6d,64,12,16,14233403709,3.953723
opt_6d,64,12,24,19042948975,5.289708
opt_6d,64,12,32,21943242374,6.095345
opt_6d,128,12,32,3165846758,0.879402
opt_6d,128,12,48,3557359496,0.988155
opt_6d,128,12,64,3639219233,1.010894
opt_9,16,12,4,723408462,0.200947
opt_9,16,12,6,886535044,0.246260
opt_9,16,12,8,1044341737,0.290095
opt_9,32,12,8,2746898377,0.763027
opt_9,32,12,12,3341583606,0.928218
opt_9,32,12,16,2134159477,0.592822
opt_9,64,12,16,3502987003,0.973052
opt_9,64,12,24,7113936186,1.976093
opt_9,64,12,32,5065968065,1.407213
opt_9,128,12,32,3571873030,0.992187
opt_9,128,12,48,5684033167,1.578898
opt_9,128,12,64,6194092571,1.720581
opt_10,16,12,4,563733043,0.156593
opt_10,16,12,6,738943261,0.205262
opt_10,16,12,8,732787611,0.203552
opt_10,32,12,8,2036540437,0.565706
opt_10,32,12,12,2409012242,0.669170
opt_10,32,12,16,1472436806,0.409010
opt_10,64,12,16,3047948045,0.846652
opt_10,64,12,24,6295764019,1.748823
opt_10,64,12,32,4197328923,1.165925
opt_10,128,12,32,3434369270,0.953991
opt_10,128,12,48,5450617092,1.514060
opt_10,128,12,64,5621799340,1.561611
