revision,block_size,number_of_blocks_in_output_image,overlap_size,number_of_cycles,runtime_s
baseline,16,12,4,4830036598,2.012515
baseline,16,12,6,6611870138,2.754946
baseline,16,12,8,8001518425,3.333966
baseline,32,12,8,14994059391,6.247525
baseline,32,12,12,20684928301,8.618720
baseline,32,12,16,26242439068,10.934350
baseline,64,12,16,37262706652,15.526128
baseline,64,12,24,51834539936,21.597725
baseline,64,12,32,64118868009,26.716195
baseline,128,12,32,37794061655,15.747526
baseline,128,12,48,52536633866,21.890264
baseline,128,12,64,64858008635,27.024170
opt_4,16,12,4,3754425957,1.564344
opt_4,16,12,6,7259635299,3.024848
opt_4,16,12,8,8239089035,3.432954
opt_4,32,12,8,16450781806,6.854492
opt_4,32,12,12,23175312217,9.656380
opt_4,32,12,16,26648719973,11.103633
opt_4,64,12,16,37969211562,15.820505
opt_4,64,12,24,55654700781,23.189459
opt_4,64,12,32,67390086480,28.079203
opt_4,128,12,32,40030899218,16.679541
opt_4,128,12,48,55846992135,23.269580
opt_4,128,12,64,67662041702,28.192517
opt_5,16,12,4,1791142389,0.746309
opt_5,16,12,6,1726950180,0.719563
opt_5,16,12,8,1661120211,0.692133
opt_5,32,12,8,3132483521,1.305201
opt_5,32,12,12,3130957291,1.304566
opt_5,32,12,16,2629564897,1.095652
opt_5,64,12,16,3629220263,1.512175
opt_5,64,12,24,6194751432,2.581146
opt_5,64,12,32,4739742110,1.974893
opt_5,128,12,32,2738086757,1.140869
opt_5,128,12,48,3302830400,1.376179
opt_5,128,12,64,3844854095,1.602023
opt_6a,16,12,4,1797014429,0.748756
opt_6a,16,12,6,1741864507,0.725777
opt_6a,16,12,8,1679387880,0.699745
opt_6a,32,12,8,3190509552,1.329379
opt_6a,32,12,12,3233448462,1.347270
opt_6a,32,12,16,2718705779,1.132794
opt_6a,64,12,16,3986120992,1.660884
opt_6a,64,12,24,7224417564,3.010174
opt_6a,64,12,32,6500171786,2.708405
opt_6a,128,12,32,3583154652,1.492981
opt_6a,128,12,48,4907845527,2.044936
opt_6a,128,12,64,5812654431,2.421939
opt_6b,16,12,4,323188168,0.134662
opt_6b,16,12,6,405634873,0.169015
opt_6b,16,12,8,412697723,0.171957
opt_6b,32,12,8,1203587800,0.501495
opt_6b,32,12,12,1279709419,0.533212
opt_6b,32,12,16,1305500910,0.543959
opt_6b,64,12,16,2823314896,1.176381
opt_6b,64,12,24,4692966690,1.955403
opt_6b,64,12,32,3737639005,1.557350
opt_6b,128,12,32,2713889842,1.130787
opt_6b,128,12,48,3282000790,1.367500
opt_6b,128,12,64,3799848200,1.583270
opt_6c,16,12,4,421696334,0.175707
opt_6c,16,12,6,463881866,0.193284
opt_6c,16,12,8,478539071,0.199391
opt_6c,32,12,8,1505467087,0.627278
opt_6c,32,12,12,1678174756,0.699239
opt_6c,32,12,16,1767433920,0.736431
opt_6c,64,12,16,3503675866,1.459865
opt_6c,64,12,24,6201892952,2.584122
opt_6c,64,12,32,5141980982,2.142492
opt_6c,128,12,32,4027514630,1.678131
opt_6c,128,12,48,5632112344,2.346713
opt_6c,128,12,64,6295824023,2.623260
opt_6d,16,12,4,1253265968,0.522194
opt_6d,16,12,6,1181161054,0.492150
opt_6d,16,12,8,1106811395,0.461171
opt_6d,32,12,8,2077446946,0.865603
opt_6d,32,12,12,2054989440,0.856246
opt_6d,32,12,16,1762590990,0.734413
opt_6d,64,12,16,2283306941,0.951378
opt_6d,64,12,24,3775041948,1.572934
opt_6d,64,12,32,3401875441,1.417448
opt_6d,128,12,32,901949851,0.375812
opt_6d,128,12,48,1125724935,0.469052
opt_6d,128,12,64,1243501339,0.518126
opt_9,16,12,4,672508500,0.280212
opt_9,16,12,6,583278145,0.243033
opt_9,16,12,8,510038227,0.212516
opt_9,32,12,8,1848238148,0.770099
opt_9,32,12,12,2007904043,0.836627
opt_9,32,12,16,2055396207,0.856415
opt_9,64,12,16,3734865592,1.556194
opt_9,64,12,24,6698340691,2.790975
opt_9,64,12,32,5203607329,2.168170
opt_9,128,12,32,3992837842,1.663682
opt_9,128,12,48,5709091449,2.378788
opt_9,128,12,64,6630649850,2.762771
opt_10,16,12,4,473403333,0.197251
opt_10,16,12,6,585605740,0.244002
opt_10,16,12,8,564940062,0.235392
opt_10,32,12,8,1514059006,0.630858
opt_10,32,12,12,1616470124,0.673529
opt_10,32,12,16,1795010834,0.747921
opt_10,64,12,16,3554742213,1.481143
opt_10,64,12,24,6195343182,2.581393
opt_10,64,12,32,5054722350,2.106134
opt_10,128,12,32,4065960684,1.694150
opt_10,128,12,48,5621909246,2.342462
opt_10,128,12,64,6260894967,2.608706
