revision,block_size,number_of_blocks_in_output_image,overlap_size,number_of_cycles,runtime_ms
baseline,16,12,4,3296174959,1.831208
baseline,16,12,6,4329761893,2.405423
baseline,16,12,8,6142531526,3.412518
baseline,32,12,8,10423543397,5.790857
baseline,32,12,12,14422728574,8.012627
baseline,32,12,16,18015883581,10.008824
baseline,64,12,16,26980394769,14.989108
baseline,64,12,24,37757768093,20.976538
baseline,64,12,32,47027621140,26.126456
baseline,128,12,32,27416140221,15.231189
baseline,128,12,48,38435372401,21.352985
baseline,128,12,64,47725646413,26.514248
opt_4,16,12,4,1975240178,1.097356
opt_4,16,12,6,2466424783,1.370236
opt_4,16,12,8,2927694020,1.626497
opt_4,32,12,8,5389391252,2.994106
opt_4,32,12,12,7054551207,3.919195
opt_4,32,12,16,8587838293,4.771021
opt_4,64,12,16,12502326427,6.945737
opt_4,64,12,24,17270669843,9.594817
opt_4,64,12,32,21218425092,11.788014
opt_4,128,12,32,12410578357,6.894766
opt_4,128,12,48,16848658945,9.360366
opt_4,128,12,64,20685396225,11.491887
opt_5,16,12,4,1452147729,0.806749
opt_5,16,12,6,1721115170,0.956175
opt_5,16,12,8,1914659338,1.063700
opt_5,32,12,8,3759246724,2.088470
opt_5,32,12,12,4634712261,2.574840
opt_5,32,12,16,3205208857,1.780672
opt_5,64,12,16,4856444123,2.698025
opt_5,64,12,24,8232714079,4.573730
opt_5,64,12,32,6566219248,3.647900
opt_5,128,12,32,3874782733,2.152657
opt_5,128,12,48,5420848837,3.011583
opt_5,128,12,64,6283977782,3.491099
opt_6a,16,12,4,1606477704,0.892488
opt_6a,16,12,6,1826108962,1.014505
opt_6a,16,12,8,1895145011,1.052858
opt_6a,32,12,8,3829228410,2.127349
opt_6a,32,12,12,4560002610,2.533335
opt_6a,32,12,16,2439874003,1.355486
opt_6a,64,12,16,3519133205,1.955074
opt_6a,64,12,24,7275610364,4.042006
opt_6a,64,12,32,5636005333,3.131114
opt_6a,128,12,32,3170149661,1.761194
opt_6a,128,12,48,4212771172,2.340428
opt_6a,128,12,64,4984787477,2.769326
opt_6b,16,12,4,358537650,0.199188
opt_6b,16,12,6,484340776,0.269078
opt_6b,16,12,8,466119588,0.258955
opt_6b,32,12,8,1520926758,0.844959
opt_6b,32,12,12,1757119169,0.976177
opt_6b,32,12,16,1469798883,0.816555
opt_6b,64,12,16,3843280807,2.135156
opt_6b,64,12,24,6277210819,3.487339
opt_6b,64,12,32,5275486572,2.930826
opt_6b,128,12,32,3869815263,2.149897
opt_6b,128,12,48,5393123338,2.996180
opt_6b,128,12,64,6196031904,3.442240
opt_6c,16,12,4,289741243,0.160967
opt_6c,16,12,6,360852590,0.200474
opt_6c,16,12,8,376564322,0.209202
opt_6c,32,12,8,1121386169,0.622992
opt_6c,32,12,12,1258650017,0.699250
opt_6c,32,12,16,839812045,0.466562
opt_6c,64,12,16,1641143683,0.911746
opt_6c,64,12,24,3310424445,1.839125
opt_6c,64,12,32,2323677150,1.290932
opt_6c,128,12,32,2233730422,1.240961
opt_6c,128,12,48,3640840391,2.022689
opt_6c,128,12,64,4025257489,2.236254
opt_6d,16,12,4,1292817046,0.718232
opt_6d,16,12,6,1703278114,0.946266
opt_6d,16,12,8,2086062672,1.158924
opt_6d,32,12,8,3720505287,2.066947
opt_6d,32,12,12,4974171500,2.763429
opt_6d,32,12,16,5852708996,3.251505
opt_6d,64,12,16,7560034810,4.200019
opt_6d,64,12,24,9940912326,5.522729
opt_6d,64,12,32,11446302953,6.359057
opt_6d,128,12,32,1700418058,0.944677
opt_6d,128,12,48,1941287900,1.078493
opt_6d,128,12,64,2035435313,1.130797
opt_9,16,12,4,376998272,0.209443
opt_9,16,12,6,460801426,0.256001
opt_9,16,12,8,398774845,0.221542
opt_9,32,12,8,1340245261,0.744581
opt_9,32,12,12,1734249701,0.963472
opt_9,32,12,16,1102632253,0.612573
opt_9,64,12,16,2015280100,1.119600
opt_9,64,12,24,3858340477,2.143522
opt_9,64,12,32,2868033449,1.593352
opt_9,128,12,32,2305207657,1.280671
opt_9,128,12,48,3826884973,2.126047
opt_9,128,12,64,4236798082,2.353777
opt_10,16,12,4,306685841,0.170381
opt_10,16,12,6,318110925,0.176728
opt_10,16,12,8,416787677,0.231549
opt_10,32,12,8,1047628588,0.582016
opt_10,32,12,12,1271716661,0.706509
opt_10,32,12,16,834403144,0.463557
opt_10,64,12,16,1641047302,0.911693
opt_10,64,12,24,3250097509,1.805610
opt_10,64,12,32,2363708219,1.313171
opt_10,128,12,32,2187406553,1.215226
opt_10,128,12,48,3636463418,2.020257
opt_10,128,12,64,3894615407,2.163675
