revision,block_size,number_of_blocks_in_output_image,overlap_size,number_of_cycles,runtime_s
baseline,16,33,4,10929538649,1.686657
baseline,16,49,8,41348124164,6.380883
baseline,32,14,4,2519323218,0.388784
baseline,32,16,8,6190271717,0.955289
baseline,32,24,16,24333863938,3.755226
baseline,48,9,4,826503775,0.127547
baseline,48,9,8,1530097023,0.236126
baseline,48,12,16,5147478097,0.794364
baseline,48,23,32,32393288827,4.998964
baseline,64,6,4,175531698,0.027088
baseline,64,7,8,469659701,0.072478
baseline,64,8,16,1163439128,0.179543
baseline,64,11,32,4029825406,0.621887
opt_4,16,33,4,6305912688,0.973135
opt_4,16,49,8,20822561344,3.213358
opt_4,32,14,4,1447231046,0.223338
opt_4,32,16,8,3050985081,0.470831
opt_4,32,24,16,10999826422,1.697504
opt_4,48,9,4,470732953,0.072644
opt_4,48,9,8,764007946,0.117902
opt_4,48,12,16,2344266333,0.361769
opt_4,48,23,32,14099712200,2.175882
opt_4,64,6,4,101766690,0.015705
opt_4,64,7,8,234016412,0.036114
opt_4,64,8,16,546613069,0.084354
opt_4,64,11,32,1814819789,0.280065
opt_5,16,33,4,4760453055,0.734638
opt_5,16,49,8,13767224765,2.124572
opt_5,32,14,4,1103956370,0.170364
opt_5,32,16,8,1985382568,0.306386
opt_5,32,24,16,4027519022,0.621531
opt_5,48,9,4,410004889,0.063272
opt_5,48,9,8,585751386,0.090394
opt_5,48,12,16,967060248,0.149238
opt_5,48,23,32,4788496723,0.738966
opt_5,64,6,4,95247907,0.014699
opt_5,64,7,8,180726377,0.027890
opt_5,64,8,16,211770349,0.032681
opt_5,64,11,32,550658556,0.084978
opt_8,16,33,4,4899208272,0.756051
opt_8,16,49,8,12801981826,1.975614
opt_8,32,14,4,1183415165,0.182626
opt_8,32,16,8,2167531105,0.334496
opt_8,32,24,16,3422720145,0.528198
opt_8,48,9,4,421076388,0.064981
opt_8,48,9,8,602685136,0.093007
opt_8,48,12,16,699361473,0.107926
opt_8,48,23,32,4159395557,0.641882
opt_8,64,6,4,95344601,0.014714
opt_8,64,7,8,189327274,0.029217
opt_8,64,8,16,168024101,0.025930
opt_8,64,11,32,525153244,0.081042
opt_6,16,33,4,4803490410,0.741279
opt_6,16,49,8,13879138461,2.141842
opt_6,32,14,4,1200477464,0.185259
opt_6,32,16,8,2106706982,0.325109
opt_6,32,24,16,4261311237,0.657610
opt_6,48,9,4,439736768,0.067861
opt_6,48,9,8,636374228,0.098206
opt_6,48,12,16,1033276829,0.159456
opt_6,48,23,32,5135385324,0.792498
opt_6,64,6,4,100242983,0.015470
opt_6,64,7,8,199890045,0.030847
opt_6,64,8,16,226499709,0.034954
opt_6,64,11,32,591723826,0.091315
opt_6a,16,33,4,5251892942,0.810477
opt_6a,16,49,8,13937666157,2.150874
opt_6a,32,14,4,1236686501,0.190847
opt_6a,32,16,8,2237645099,0.345316
opt_6a,32,24,16,3285882678,0.507081
opt_6a,48,9,4,437482328,0.067513
opt_6a,48,9,8,614324586,0.094803
opt_6a,48,12,16,657213232,0.101422
opt_6a,48,23,32,4011986176,0.619134
opt_6a,64,6,4,97434464,0.015036
opt_6a,64,7,8,192996521,0.029783
opt_6a,64,8,16,168382032,0.025985
opt_6a,64,11,32,508399754,0.078457

