revision,block_size,number_of_blocks_in_output_image,overlap_size,number_of_cycles,runtime_s
baseline,16,49,8,103624314774,15.991407
baseline,16,33,4,30192445958,4.659328
baseline,32,14,4,7573730925,1.168786
baseline,32,16,8,18264856082,2.818651
baseline,32,24,16,71552618127,11.042071
baseline,48,9,4,3421494287,0.528008
baseline,48,9,8,6458575189,0.996694
baseline,48,12,16,21552172404,3.325953
baseline,48,23,32,133457019505,20.595219
baseline,64,6,4,1338702436,0.206590
baseline,64,7,8,3530948158,0.544899
baseline,64,8,16,8816717277,1.360605
baseline,64,11,32,30094199471,4.644167
baseline,80,5,4,733939644,0.113262
baseline,80,5,8,1387195387,0.214073
baseline,80,6,16,3893610101,0.600866
baseline,80,7,32,9756157154,1.505580
baseline,80,21,64,147493016941,22.761268
baseline,96,4,4,294510493,0.045449
baseline,96,4,8,554228886,0.085529
baseline,96,4,16,1038262316,0.160226
baseline,96,5,32,3158776869,0.487466
baseline,96,10,64,23295692787,3.595014
baseline,112,3,4,71485833,0.011032
baseline,112,3,8,130789479,0.020184
baseline,112,4,16,488473353,0.075382
baseline,112,4,32,909644057,0.140377
baseline,112,7,64,5360652587,0.827261
opt_4,16,33,4,16400904235,2.531004
opt_4,16,49,8,54456753332,8.403820
opt_4,32,14,4,4487874505,0.692573
opt_4,32,16,8,9658384614,1.490491
opt_4,32,24,16,35820685261,5.527884
opt_4,48,9,4,1977000145,0.305093
opt_4,48,9,8,3253099940,0.502022
opt_4,48,12,16,10231055999,1.578867
opt_4,48,23,32,59840425592,9.234634
opt_4,64,6,4,764631347,0.117999
opt_4,64,7,8,1797730629,0.277428
opt_4,64,8,16,4321814950,0.666947
opt_4,64,11,32,14082590950,2.173239
opt_4,80,5,4,405311213,0.062548
opt_4,80,5,8,683598369,0.105494
opt_4,80,6,16,1904635556,0.293925
opt_4,80,7,32,4563303714,0.704214
opt_4,80,21,64,66141958836,10.207092
opt_4,96,4,4,164475037,0.025382
opt_4,96,4,8,272770296,0.042094
opt_4,96,4,16,512318221,0.079061
opt_4,96,5,32,1486623377,0.229417
opt_4,96,10,64,10477775020,1.616941
opt_4,112,3,4,38646153,0.005964
opt_4,112,3,8,64566324,0.009964
opt_4,112,4,16,240542037,0.037121
opt_4,112,4,32,423952535,0.065425
opt_4,112,7,64,2440551503,0.376628
opt_5,16,33,4,11974083544,1.847852
opt_5,16,49,8,34296581474,5.292682
opt_5,32,14,4,3474764482,0.536229
opt_5,32,16,8,6251770300,0.964779
opt_5,32,24,16,12398574253,1.913360
opt_5,48,9,4,1767642346,0.272784
opt_5,48,9,8,2479086239,0.382575
opt_5,48,12,16,4073745811,0.628664
opt_5,48,23,32,20220807148,3.120495
opt_5,64,6,4,671341215,0.103602
opt_5,64,7,8,1322810522,0.204137
opt_5,64,8,16,1555381555,0.240028
opt_5,64,11,32,4134175519,0.637990
opt_5,80,5,4,376500607,0.058102
opt_5,80,5,8,527611905,0.081422
opt_5,80,6,16,723503220,0.111652
